Item,Qty,Reference(s),Value,Description,Digikey Part Number,MANUFACTURER,Manufacturer_Part_Number,Mouser Part Number
1,6,"C1, C4, C5, C7, C8, C14",0.1UF,CAP CER 0.1UF 25V Y5V 0402,311-1375-1-ND,Yageo,CC0402ZRY5V8BB104,
2,2,"C2, C3",16PF,CAP CER 16PF 50V NP0 0402,399-15302-1-ND,KEMET,C0402C160J5GAC7867,
3,1,C6,10UF,CAP ALUM 10UF 20% 35V SMD,399-6695-1-ND,KEMET,EEV106M035A9BAA,
4,2,"C9, C10",18PF,CAP CER 18PF 50V C0G/NPO 0402,311-1415-1-ND,Yageo,CC0402JRNPO9BN180,
5,1,C11,1UF,CAP CER 1UF 6.3V X5R 0402,311-1438-1-ND,Yageo,CC0402KRX5R5BB105,
6,2,"C12, C13",4.7UF,CAP CER 4.7PF 50V C0G/NP0 0402,1276-1703-1-ND,Samsung Electro-Mechanics,CL05C4R7CB5NNNC,
7,1,D1,DIODE SCHOTTKY SOD523,DIODE GEN PURP 75V 150MA SOD523,1N4148XTPMSCT-ND,Micro Commercial Co,1N4148X-TP,
8,6,"D2, D3, D4, D5, D6, D7",ESD9B3.3ST5G,TVS DIODE 3.3V 11.5V SOD923 (ESD Protection),ESD9B3.3ST5GOSCT-ND,ON Semiconductor,ESD9B3.3ST5G,
9,1,IC1,USB2422-I/MJ,"USB2422-I/MJ, USB Hub USB 2.0, 3  3.6 V, 24-Pin, SQFN",USB2422-I/MJ-ND,Microchip Technology,USB2422-I/MJ,579-USB2422-I/MJ
10,1,J1,61400826021,CONN RCPT USB2.0 TYPEA STACK R/A,732-2107-ND,Wurth Elektronik,61400826021,
11,2,"R1, R2",33R,RES SMD 33 OHM 1% 1/16W 0402,311-33.0LRCT-ND,Yageo,RC0402FR-0733RL,
12,2,"R3, R4",2K,RES SMD 2K OHM 1% 1/16W 0402,311-2KLRCT-ND,Yageo,RC0402FR-072KL,
13,3,"R5, R6, R7",56K,RES SMD 56K OHM 1% 1/16W 0402,541-56.0KLCT-ND,Vishay Dale,CRCW040256K0FKED,
14,1,R8,1M,RES SMD 1M OHM 1% 1/16W 0402,311-1.00MLRCT-ND,Yageo,RC0402FR-071ML,
15,1,R9,12K,RES SMD 12K OHM 1% 1/16W 0402,541-12.0KLCT-ND,Vishay Dale,CRCW040212K0FKED,
16,1,SW1,SWITCH TACTILE,SWITCH TACTILE SPST-NO 50MA 12V,EG5350CT-ND,E-Switch,TL3305AF160QG,
17,1,U1,MAX3421ETQFP32-5MM,IC USB PERIPH/HOST CNTRL 32TQFP,MAX3421EEHJ+TCT-ND,Maxim Integrated,MAX3421EEHJ+T,700-MAX3421EEHJT
18,1,U2,74HC4050,IC BUFFER NON-INVERT 6V 16SOIC,74HC4050DCT-ND,Toshiba Semiconductor and Storage,74HC4050D,
19,1,U3,MIC5219-3.3YM5-TR,IC REG LINEAR 3.3V 500MA SOT23-5,576-1281-1-ND,Microchip Technology,MIC5219-3.3YM5-TR,998-MIC5219-3.3YM5TR
20,2,"U4, U5",Arduino Pro Micro 5V,,,,,
21,1,Y1,12MHz XTAL,CRYSTAL 12.0000MHZ 12PF SMD,SER3683CT-ND,EPSON,FA-238V 12.0000MB-W3,
22,1,Y2,24MHz XTAL,CRYSTAL 24.0000MHZ 6PF SMD,490-5575-1-ND,Murata Electronics,XRCGB24M000F0L00R0,
